";-)"	1.0	0.53852	[1, 1, 1, 1, 0, 1, 1, 2, 2, 1]
";-*"	2.2	104403.00	[2, -1, 1, 1, 1, 1, -1, 2, 2, 1]
";-]"	0.7	173205.00	[1, -2, 1, -2, 1, 4, 2, 1, 2, 2]
";d"	0.8	0.74833	[2, 2, 1, 3, 4, 2, 2, 2, 2, 2]
";D"	0.8	167631.00	[1, -2, 1, -3, 1, 2, 2, 1, 2, 2]
";]"	0.6	1249.00	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
";^)"	1.4	1249.00	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
</3	-3.0	111355.00	[1, -1, 1, 1, 1, 1, -2, 2, 1, 1]
<3	1.9	0.91652	[2, 2, 1, 2, 1, 2, -1, 1, 2, 2]
<:	2.1	1.0	[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]
<:-|	-1.4	113578.00	[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]
=)	2.2	113578.00	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]
-3	2.0	0.66332	[-1, -1, -1, -2, -2, -1, -3, -1, -1, -1]
#NOME?	2.4	116619.00	[4, 2, 3, 3, 2, 1, 1, 4, 1, 1]
#NOME?	2.4	0.63246	[2, 2, 2, 3, 1, 3, 1, 2, 2, 2]
=/	-1.4	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]
3	2.1	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]
#NOME?	2.3	0.91652	[-1, -1, -1, -1, -1, -2, -1, -1, -4, -1]
#NOME?	2.3	0.7	[3, 1, 2, 1, 2, 3, 2, 2, 3, 2]
#NOME?	-1.2	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
#NOME?	-1.2	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
=]	1.6	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]
#NOME?	1.3	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]
=|	-0.8	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
>-:	-2.0	0.9	[2, 1, 2, 1, 2, -1, 1, 2, 2, 1]
>.<	-1.3	0.87178	[-2, -1, -2, 1, 0, -1, 0, -1, -1, -1]
>:	-2.1	0.89443	[-2, -3, -2, -4, -1, -1, -1, -2, -2, -2]
>:(	-2.7	0.45826	[-1, -2, -1, -2, -2, -1, -1, -1, -1, -1]
>:)	0.4	113578.00	[-4, -1, -1, -4, -2, -3, -1, -1, -2, -2]
>:-(	-2.7	0.64031	[-2, -3, -2, -3, -3, -2, -4, -2, -3, -3]
>:-)	-0.4	142829.00	[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]
>:/	-1.6	0.78102	[-3, -2, -3, -2, -4, -2, -3, -2, -2, -4]
>:o	-1.2	168523.00	[1, 2, 1, -2, -2, -1, -1, -3, -1, 2]
>:p	1.0	0.8	[-1, -2, -1, -3, -1, -1, -1, -1, -2, -3]
>:[	-2.1	116619.00	[-3, -1, -2, 0, -2, -2, 0, -1, 1, -2]
>:\	-1.7	0.7746	[-1, 1, 1, 2, 1, 2, 1, 1, 1, 1]
">;("	-2.9	0.53852	[-2, -2, -2, -2, -3, -3, -2, -1, -2, -2]
">;)"	0.1	0.64031	[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]
>_>^	2.1	0.7	[-3, -4, -3, -2, -2, -3, -3, -3, -2, -4]
@:	-2.1	104403.00	[-1, 1, 0, -1, 2, 0, -1, 1, 1, -1]
@>-->--	2.1	0.9434	[2, 2, 1, 4, 3, 2, 1, 3, 1, 2]
"@}-;-'---"	2.2	0.9434	[-3, -2, -3, -1, -2, -4, -1, -2, -1, -2]
aas	2.5	122066.00	[1, 1, 0, 2, 4, 2, 4, 2, 3, 2]
aayf	2.7	132665.00	[0, 1, 3, 2, 1, 4, 4, 1, 3, 3]
afu	-2.9	0.80623	[2, 3, 3, 4, 1, 2, 3, 2, 2, 3]
alol	2.8	0.78102	[2, 3, 2, 4, 3, 2, 2, 3, 4, 2]
ambw	2.9	0.83066	[-3, -3, -3, -3, -3, -1, -4, -4, -2, -3]
aml	3.4	0.74833	[2, 2, 2, 3, 3, 2, 3, 4, 4, 3]
atab	-1.9	0.7	[2, 3, 4, 2, 3, 2, 3, 3, 4, 3]
awol	-1.3	0.66332	[4, 3, 2, 4, 3, 3, 4, 4, 3, 4]
ayc	0.2	122066.00	[-2, 0, -1, -2, -1, -1, -2, -4, -4, -2]
ayor	-1.2	0.78102	[0, -1, -1, -1, -1, -1, -2, -2, -3, -1]
aug-00	0.3	0.9798	[0, 1, -1, 1, 0, 1, 0, -1, 2, -1]
bfd	-2.7	0.6	[-1, -1, -2, -2, -1, -1, -1, 0, -2, -1]
bfe	-2.6	118743.00	[2, 0, -2, 0, 0, 1, -1, 2, 1, 0]
bff	2.9	0.78102	[-3, -2, -4, -2, -3, -2, -3, -2, -4, -2]
bffn	1.0	135647.00	[-3, -3, -4, -2, -3, -2, 1, -3, -4, -3]
bl	2.3	0.83066	[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]
bsod	-2.2	0.89443	[2, 1, -1, 1, 0, 1, 2, 1, 2, 1]
btd	-2.1	1.1	[2, 1, 4, 1, 2, 2, 4, 3, 1, 3]
btdt	-0.1	107703.00	[-1, -4, -3, -3, 0, -2, -3, -2, -2, -2]
bz	0.4	0.83066	[-1, -2, -3, -3, -3, -1, -3, -2, -1, -2]
b^d	2.6	122066.00	[0, -1, 0, -1, 0, 3, 1, -1, -1, -1]
cwot	-2.3	135647.00	[-1, 0, 0, 0, 4, 1, -1, 1, 0, 0]
d-':	-2.5	0.8	[3, 2, 2, 4, 3, 1, 3, 3, 3, 2]
d8	-3.2	0.45826	[-3, -2, -2, -2, -2, -3, -2, -3, -2, -2]
d:	1.2	0.67082	[-3, -3, -2, -2, -2, -4, -2, -3, -2, -2]
d:<	-3.2	0.6	[-3, -3, -3, -3, -4, -4, -2, -3, -3, -4]
"d;"	-2.9	0.83066	[-3, -3, -3, -3, -2, -4, -1, -3, -3, -4]
d=	1.5	0.9798	[-4, -4, -4, -1, -3, -3, -4, -2, -3, -4]
doa	-4.0	0.83066	[-1, -3, -3, -3, -3, -4, -2, -3, -3, -4]
dx	-3.0	0.89443	[-4, -3, -3, -3, -2, -4, -1, -3, -3, -4]
ez	1.5	100499.00	[-2, -3, -3, -2, -2, -2, -4, 0, -2, -3]
fav	2.0	0.63246	[-3, -2, -3, -3, -4, -3, -4, -2, -3, -3]
fcol	-1.8	0.67082	[3, 2, 2, 1, 1, 1, 2, 1, 1, 1]
ff	1.8	0.91652	[3, 1, 3, 2, 2, 3, 1, 2, 3, 4]
ffs	-2.8	0.74833	[-2, -2, -1, -2, -1, -2, -1, -3, -3, -1]
fkm	-2.4	1249.00	[4, 2, 1, 2, 1, 3, 3, 0, 2, 0]
foaf	1.8	0.9798	[-2, -2, -3, -3, -2, -4, -4, -4, -1, -3]
ftw	2.0	135647.00	[-4, -1, -4, -2, -2, -3, -1, 0, -3, -4]
fu	-3.7	1249.00	[2, 1, 2, 0, 4, 1, 1, 1, 2, 4]
fubar	-3.0	0.7746	[2, 1, 1, 2, 2, 2, 3, 3, 1, 3]
fwb	2.5	0.45826	[-3, -4, -4, -3, -3, -4, -4, -4, -4, -4]
fyi	0.8	109545.00	[-4, -3, -3, -4, -3, -3, -3, -4, 0, -3]
fysa	0.4	143178.00	[2, 3, 4, 0, 1, 2, 4, 1, 4, 4]
g1	1.4	166132.00	[0, 1, 0, -1, 0, 0, 4, 4, 0, 0]
